06-03 13:18:56.571 D/InstallDependencyHelper( 3615): No missing dependency for com.nhai.faceauth
06-03 13:18:56.575 D/OplusPackageInstallInterceptManager( 3615): installStage send adb install pkg:com.nhai.faceauth   path: /data/app/vmdl1748849335.tmp/base.apk installFlags:4194422
06-03 13:18:56.576 D/PackageManager( 3615): installStage com.nhai.faceauth, dir=/data/app/vmdl1748849335.tmp, installerPackageName=null, installerUid=2000, full=false
06-03 13:18:56.577 D/PackageManager( 3615): installStage com.nhai.faceauth0
06-03 13:18:56.590 D/ParsingPackageUtilsExtImpl( 3615): adjustXmlValidator skip verify tag packageName: com.nhai.faceauth , bootCompleted: true
06-03 13:18:56.603 E/PackageManagerServiceUtilsExtImpl( 3615): Fix up user restrict data of pkg: com.nhai.faceauth
06-03 13:18:56.666 D/OplusDexSceneManager( 3615): Starting attach context  for  com.nhai.faceauth reason: install
06-03 13:18:56.674 W/OplusSingleDexoptContainerImpl( 3615): oplus checkAndSetBeforeStart success: packageName= com.nhai.faceauth priority= 60 compilerFilter= skip
06-03 13:18:56.680 E/OplusDexoptUtils( 3615):  get apk path wrong! android.content.pm.PackageManager$NameNotFoundException: com.nhai.faceauth
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{87ed497 com.oplus.nfcengineertest/10232} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{427d3fb com.android.cellbroadcastreceiver.overlay.common/10020} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{a75b471 com.android.providers.contacts/10067} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{daa77bb com.oplus.plugin/10433} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{cc48c4a com.qualcomm.timeservice/10093} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{bab95ec com.oplus.nrMode/10210} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{955709f com.qti.qcc/10243} force queryable
06-03 13:18:56.906 I/AppsFilter( 3615): interaction: PackageSetting{1ee7c93 com.nhai.faceauth/10594} -> PackageSetting{e760a3e com.qti.dcf/10220} force queryable
